Scholarship URL,Scholarship Title,Provided By,Amount,Deadline,Description
http://www.fastweb.com/college-scholarships/scholarships/147850-razor-s-edge-scholarship,Razor's Edge Scholarship,Nova Southeastern University,"$10,000",Varies,The Razor's Edge Scholarship is open to high school seniors who plan to enroll in Nova Southeastern University in the Fall of 2010.  You must display experience of substantial leadership and have a minimum high school GPA of 2.0 to be eligible for this award.  For furthur information please email razorsedge@nova.edu.
http://www.fastweb.com/college-scholarships/scholarships/68806-ventures-scholars-program,Ventures Scholars Program,"Ventures in Education, Inc.","$10,000",Varies,The Ventures Scholars Program is open to underrepresented and first - generation college - bound students.  You must be pursuing a math - or science - based career to be considered for this award.
http://www.fastweb.com/college-scholarships/scholarships/57439-vegetarian-resource-group-scholarship,Vegetarian Resource Group Scholarship,Vegetarian Resource Group,"$10,000","February 20, 2016","The Vegetarian Resource Group Scholarship is available to graduating high school seniors.  You must have been active in promoting vegetarianism in your school and / or community; and have demonstrated compassion, courage, and a strong commitment to promoting a peaceful world through a vegetarian diet / lifestyle to be considered for this award."
http://www.fastweb.com/college-scholarships/scholarships/12669-chancellor-s-scholarship-cornerstone-university,Chancellor's Scholarship - Cornerstone University,Cornerstone University,"$9,000",Varies,The Chancellor's Scholarship is available to entering freshmen and transfer students at Cornerstone University.  Selection is based on your high school GPA and ACT score.
http://www.fastweb.com/college-scholarships/scholarships/156468-george-w-jenkins-scholarship,George W. Jenkins Scholarship,University of Miami,"$55,000","December 01, 2015","The George W. Jenkins Scholarship is available to full - time entering freshmen at the University of Miami.  You must be graduating from a high school in Florida, Georgia, South Carolina, Alabama, or Tennessee to be eligible for this award.  A minimum 3.75 GPA and an essay are also required."
http://www.fastweb.com/college-scholarships/scholarships/3766-battelle-scholarship,Battelle Scholarship,Denison University,"$45,000",Varies,The Battelle Scholarship is available to entering freshmen at Denison University.  You must demonstrate academic talent and personal merit and be a resident of central Ohio to be eligible for this award.
http://www.fastweb.com/college-scholarships/scholarships/93786-woody-scholarship,Woody Scholarship,"Union College, Nebraska","$38,500",Varies,"The Woody Scholarship is open to students at Union College, Nebraska.  You must be from the Kansas/Nebraska Conference and display exemplary character and academic promise to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/149968-honors-program-scholarship-csu,Honors Program Scholarship - CSU,Cleveland State University,"$37,056",Varies,The Honors Program Scholarship is available to incoming freshmen and continuing juniors at Cleveland State University.  Freshmen must rank in the top 10 percent of your high school class and have a minimum 30 ACT / 1950 SAT; juniors must have a minimum 3.5 GPA and have taken a rigorous curriculum in their major to be eligible for this award.
http://www.fastweb.com/college-scholarships/scholarships/93518-presidential-diversity-scholarship,Presidential Diversity Scholarship,St. Lawrence University,"$32,000","February 01, 2016","The Presidential Diversity Scholarship is available to first - year and transfer students at Saint Lawrence University.  You must demonstrate commitment to, and appreciation for, racial and ethnic diversity to be considered for this award."
http://www.fastweb.com/college-scholarships/scholarships/86284-army-rotc-scholarship-otterbein-college,Army ROTC Scholarship - Otterbein College,Otterbein College,"$31,424",Varies,The Army ROTC Scholarship is available to students at Otterbein College.  You must be accepted into the Army ROTC program and intend to be employed as an officer in the U.S. Army after graduation to qualify for this award.
http://www.fastweb.com/college-scholarships/scholarships/151762-bethel-national-merit-scholarship,Bethel National Merit Scholarship,Bethel University - Minnesota,"$30,000",Varies,The Bethel National Merit Scholarship is available to full - time entering students at Bethel University.  You must be a National Merit Finalist and list Bethel as your first - choice school to be eligible for this award.
http://www.fastweb.com/college-scholarships/scholarships/44425-howard-r-bowen-scholarship-grinnell-college,Howard R. Bowen Scholarship - Grinnell College,Grinnell College,"$25,000",Varies,"The Howard R. Bowen Scholarship is available to entering freshmen at Grinnell College.  You must have graduated from an Iowa high school, be a U.S. citizen, and participate in a scholarship examination and an on-campus interview to be considered for this award."
http://www.fastweb.com/college-scholarships/scholarships/32239-excellence-in-equine-agricultural-involvement-scholarship,Excellence in Equine/Agricultural Involvement Scholarship,American Quarter Horse Foundation,"$25,000","December 01, 2015","The Excellence in Equine/Agricultural Involvement Scholarship is available to student members of the American Quarter Horse Association.  You must be a high school senior or a student currently enrolled in an accredited college, university, or vocational school and demonstrate characteristics of excellence acquired through your participation in equine or agricultural activities.  You must also have at least a 3.5 GPA to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/114904-max-christianson-division-of-nursing-scholarship,Max Christianson Division of Nursing Scholarship,"Union College, Nebraska","$25,000",Varies,"The Max Christianson Division of Nursing Scholarship is open to students at Union College, Nebraska.  You must be majoring in nursing and have a minimum 3.0 GPA.  You must also be a scholarly role model and demonstrate financial need to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/93786-woody-scholarship,Woody Scholarship,"Union College, Nebraska","$38,500",Varies,"The Woody Scholarship is open to students at Union College, Nebraska.  You must be from the Kansas/Nebraska Conference and display exemplary character and academic promise to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/86284-army-rotc-scholarship-otterbein-college,Army ROTC Scholarship - Otterbein College,Otterbein College,"$31,424",Varies,The Army ROTC Scholarship is available to students at Otterbein College.  You must be accepted into the Army ROTC program and intend to be employed as an officer in the U.S. Army after graduation to qualify for this award.
http://www.fastweb.com/college-scholarships/scholarships/93677-max-christianson-division-of-business-and-computer-science-scholarship,Max Christianson Division of Business and Computer Science Scholarship,"Union College, Nebraska","$25,000",Varies,"The Max Christianson Division of Business and Computer Science Scholarship is open to business and computer science majors at Union College, Nebraska.  You must have a minimum 3.0 GPA, demonstrate financial need, and contribute to your own tuition by working 10 to 12 hours per week during the school year to qualify for this award.  You must also show strong Christian commitment, be active in extracurricular activities, possess strong leadership skills, and have a desire to pursue your full education at Union.  Preference will be given to students with strong math backgrounds who are scholarly role models."
http://www.fastweb.com/college-scholarships/scholarships/114904-max-christianson-division-of-nursing-scholarship,Max Christianson Division of Nursing Scholarship,"Union College, Nebraska","$25,000",Varies,"The Max Christianson Division of Nursing Scholarship is open to students at Union College, Nebraska.  You must be majoring in nursing and have a minimum 3.0 GPA.  You must also be a scholarly role model and demonstrate financial need to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/32239-excellence-in-equine-agricultural-involvement-scholarship,Excellence in Equine/Agricultural Involvement Scholarship,American Quarter Horse Foundation,"$25,000","December 01, 2015","The Excellence in Equine/Agricultural Involvement Scholarship is available to student members of the American Quarter Horse Association.  You must be a high school senior or a student currently enrolled in an accredited college, university, or vocational school and demonstrate characteristics of excellence acquired through your participation in equine or agricultural activities.  You must also have at least a 3.5 GPA to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/17693-arcadia-university-distinguished-scholarship,Arcadia University Distinguished Scholarship,Arcadia University,"$23,000",Varies,"The Arcadia University Distinguished Scholarship is available to full - time freshmen and transfer students at Arcadia University.  Selection for this award will be based on grades, SAT / ACT scores, high school rank, and school involvement."
http://www.fastweb.com/college-scholarships/scholarships/80999-trustee-scholarship-cornell-college,Trustee Scholarship - Cornell College,Cornell College,"$21,000",Varies,The Trustee Scholarship is open to entering freshmen and transfers at Cornell College.  Transfers must be a member of Phi Theta Kappa or have a minimum 3.8 GPA.
http://www.fastweb.com/college-scholarships/scholarships/152448-chicago-police-and-fire-departments-scholarship-iit,Chicago Police and Fire Departments Scholarship - IIT,Illinois Institute of Technology,"$20,000",Varies,The Chicago Police and Fire Departments Scholarship is available to students at Illinois Institute of Technology.  You must be the child or grandchild of a member of the Chicago Police Department or Chicago Fire Department to be considered for this award.
http://www.fastweb.com/college-scholarships/scholarships/80455-westminster-college-ut-award-for-exemplary-achievement,Westminster College (UT) Award for Exemplary Achievement,"Westminster College, Utah","$20,000",Varies,"The Westminster College Award for Exemplary Achievement is open to entering freshmen and transfer students at Westminster College in Utah.  You must have a minimum ""B"" average and demonstrate achievement and involvement in any activity or endeavor of significance.  You will be evaluated on the level of achievement, depth of involvement and quality of your contribution.  Special consideration will be given to applicants who have overcome hardships, a disability, a difficult personal situation or faced other disadvantages.  Letters of recommendation, a resume, an application and an essay are required."
http://www.fastweb.com/college-scholarships/scholarships/163488-kenyon-honor-science-and-trustee-opportunity-scholarship,"Kenyon Honor, Science, and Trustee Opportunity Scholarship",Kenyon College,"$20,000",Varies,"The Kenyon Honor, Science, and Trustee Opportunity Scholarship is available to the top students in every entering class at Kenyon College.  You must have received other selective scholarships or talent recognition programs, such as National Merit Scholarships, National Achievement Scholarships Program, National Hispanic Scholarships, or National Council of Teachers of English awards who represent excellence in the liberal arts to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/93786-woody-scholarship,Woody Scholarship,"Union College, Nebraska","$38,500",Varies,"The Woody Scholarship is open to students at Union College, Nebraska.  You must be from the Kansas/Nebraska Conference and display exemplary character and academic promise to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/149968-honors-program-scholarship-csu,Honors Program Scholarship - CSU,Cleveland State University,"$37,056",Varies,The Honors Program Scholarship is available to incoming freshmen and continuing juniors at Cleveland State University.  Freshmen must rank in the top 10 percent of your high school class and have a minimum 30 ACT / 1950 SAT; juniors must have a minimum 3.5 GPA and have taken a rigorous curriculum in their major to be eligible for this award.
http://www.fastweb.com/college-scholarships/scholarships/86284-army-rotc-scholarship-otterbein-college,Army ROTC Scholarship - Otterbein College,Otterbein College,"$31,424",Varies,The Army ROTC Scholarship is available to students at Otterbein College.  You must be accepted into the Army ROTC program and intend to be employed as an officer in the U.S. Army after graduation to qualify for this award.
http://www.fastweb.com/college-scholarships/scholarships/41933-trustee-scholarship-saint-martin-s-university,Trustee Scholarship - Saint Martin's University,Saint Martin's University,"$26,000",Varies,The Trustee Scholarship is available to entering transfer students at St. Martin's University.  You must have received your associate's degree or be in junior standing and have a minimum GPA of 3.5 to be eligible for this award.
http://www.fastweb.com/college-scholarships/scholarships/93677-max-christianson-division-of-business-and-computer-science-scholarship,Max Christianson Division of Business and Computer Science Scholarship,"Union College, Nebraska","$25,000",Varies,"The Max Christianson Division of Business and Computer Science Scholarship is open to business and computer science majors at Union College, Nebraska.  You must have a minimum 3.0 GPA, demonstrate financial need, and contribute to your own tuition by working 10 to 12 hours per week during the school year to qualify for this award.  You must also show strong Christian commitment, be active in extracurricular activities, possess strong leadership skills, and have a desire to pursue your full education at Union.  Preference will be given to students with strong math backgrounds who are scholarly role models."
http://www.fastweb.com/college-scholarships/scholarships/114904-max-christianson-division-of-nursing-scholarship,Max Christianson Division of Nursing Scholarship,"Union College, Nebraska","$25,000",Varies,"The Max Christianson Division of Nursing Scholarship is open to students at Union College, Nebraska.  You must be majoring in nursing and have a minimum 3.0 GPA.  You must also be a scholarly role model and demonstrate financial need to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/32239-excellence-in-equine-agricultural-involvement-scholarship,Excellence in Equine/Agricultural Involvement Scholarship,American Quarter Horse Foundation,"$25,000","December 01, 2015","The Excellence in Equine/Agricultural Involvement Scholarship is available to student members of the American Quarter Horse Association.  You must be a high school senior or a student currently enrolled in an accredited college, university, or vocational school and demonstrate characteristics of excellence acquired through your participation in equine or agricultural activities.  You must also have at least a 3.5 GPA to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/17693-arcadia-university-distinguished-scholarship,Arcadia University Distinguished Scholarship,Arcadia University,"$23,000",Varies,"The Arcadia University Distinguished Scholarship is available to full - time freshmen and transfer students at Arcadia University.  Selection for this award will be based on grades, SAT / ACT scores, high school rank, and school involvement."
http://www.fastweb.com/college-scholarships/scholarships/156566-clu-guarantee-scholarship,CLU Guarantee Scholarship,California Lutheran University,"$22,605",Varies,"The CLU Guarantee Scholarship is available to entering freshmen and transfer students at California Lutheran University.  You must have been admitted to, or be transferring from, one of the following University of California institutions: UCLA, UC Berkeley, UC Davis, Santa Barbara, or San Diego.  CLU will match the average cost of attendance at the aforementioned institutions."
http://www.fastweb.com/college-scholarships/scholarships/80999-trustee-scholarship-cornell-college,Trustee Scholarship - Cornell College,Cornell College,"$21,000",Varies,The Trustee Scholarship is open to entering freshmen and transfers at Cornell College.  Transfers must be a member of Phi Theta Kappa or have a minimum 3.8 GPA.
http://www.fastweb.com/college-scholarships/scholarships/93786-woody-scholarship,Woody Scholarship,"Union College, Nebraska","$38,500",Varies,"The Woody Scholarship is open to students at Union College, Nebraska.  You must be from the Kansas/Nebraska Conference and display exemplary character and academic promise to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/86284-army-rotc-scholarship-otterbein-college,Army ROTC Scholarship - Otterbein College,Otterbein College,"$31,424",Varies,The Army ROTC Scholarship is available to students at Otterbein College.  You must be accepted into the Army ROTC program and intend to be employed as an officer in the U.S. Army after graduation to qualify for this award.
http://www.fastweb.com/college-scholarships/scholarships/114904-max-christianson-division-of-nursing-scholarship,Max Christianson Division of Nursing Scholarship,"Union College, Nebraska","$25,000",Varies,"The Max Christianson Division of Nursing Scholarship is open to students at Union College, Nebraska.  You must be majoring in nursing and have a minimum 3.0 GPA.  You must also be a scholarly role model and demonstrate financial need to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/32239-excellence-in-equine-agricultural-involvement-scholarship,Excellence in Equine/Agricultural Involvement Scholarship,American Quarter Horse Foundation,"$25,000","December 01, 2015","The Excellence in Equine/Agricultural Involvement Scholarship is available to student members of the American Quarter Horse Association.  You must be a high school senior or a student currently enrolled in an accredited college, university, or vocational school and demonstrate characteristics of excellence acquired through your participation in equine or agricultural activities.  You must also have at least a 3.5 GPA to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/93677-max-christianson-division-of-business-and-computer-science-scholarship,Max Christianson Division of Business and Computer Science Scholarship,"Union College, Nebraska","$25,000",Varies,"The Max Christianson Division of Business and Computer Science Scholarship is open to business and computer science majors at Union College, Nebraska.  You must have a minimum 3.0 GPA, demonstrate financial need, and contribute to your own tuition by working 10 to 12 hours per week during the school year to qualify for this award.  You must also show strong Christian commitment, be active in extracurricular activities, possess strong leadership skills, and have a desire to pursue your full education at Union.  Preference will be given to students with strong math backgrounds who are scholarly role models."
http://www.fastweb.com/college-scholarships/scholarships/9960-pirg-fellowship,PIRG Fellowship,National Association of State Public Interest Research Groups,"$24,500",Varies,"The PIRG Fellowship is available to recent college graduates who are interested in the public interest movement.  As a PIRG Fellow, you will build expertise on global warming, campaign reform, or another social problem.  You will conduct research, make the case for solutions, act as a spokesperson to the media, build diverse coalitions, write grants, and develop the kind of politically powerful support you need to win."
http://www.fastweb.com/college-scholarships/scholarships/17693-arcadia-university-distinguished-scholarship,Arcadia University Distinguished Scholarship,Arcadia University,"$23,000",Varies,"The Arcadia University Distinguished Scholarship is available to full - time freshmen and transfer students at Arcadia University.  Selection for this award will be based on grades, SAT / ACT scores, high school rank, and school involvement."
http://www.fastweb.com/college-scholarships/scholarships/156566-clu-guarantee-scholarship,CLU Guarantee Scholarship,California Lutheran University,"$22,605",Varies,"The CLU Guarantee Scholarship is available to entering freshmen and transfer students at California Lutheran University.  You must have been admitted to, or be transferring from, one of the following University of California institutions: UCLA, UC Berkeley, UC Davis, Santa Barbara, or San Diego.  CLU will match the average cost of attendance at the aforementioned institutions."
http://www.fastweb.com/college-scholarships/scholarships/80999-trustee-scholarship-cornell-college,Trustee Scholarship - Cornell College,Cornell College,"$21,000",Varies,The Trustee Scholarship is open to entering freshmen and transfers at Cornell College.  Transfers must be a member of Phi Theta Kappa or have a minimum 3.8 GPA.
http://www.fastweb.com/college-scholarships/scholarships/80455-westminster-college-ut-award-for-exemplary-achievement,Westminster College (UT) Award for Exemplary Achievement,"Westminster College, Utah","$20,000",Varies,"The Westminster College Award for Exemplary Achievement is open to entering freshmen and transfer students at Westminster College in Utah.  You must have a minimum ""B"" average and demonstrate achievement and involvement in any activity or endeavor of significance.  You will be evaluated on the level of achievement, depth of involvement and quality of your contribution.  Special consideration will be given to applicants who have overcome hardships, a disability, a difficult personal situation or faced other disadvantages.  Letters of recommendation, a resume, an application and an essay are required."
http://www.fastweb.com/college-scholarships/scholarships/96617-levy-scholars-program-scholarship,Levy Scholars Program Scholarship,University of Pennsylvania School of Law,"$75,000",Varies,The Levy Scholars Program Scholarship is available to entering students at the University of Pennsylvania Law School.  You must demonstrate outstanding scholarship to be eligible for the award.
http://www.fastweb.com/college-scholarships/scholarships/163157-king-chavez-parks-future-faculty-fellowship,King-Chavez-Parks Future Faculty Fellowship,"University of Michigan, Rackham Graduate School","$35,000",Varies,"The King-Chavez-Parks Future Faculty Fellowship is available to graduate students at the University of Michigan, Rackham Graduate School.  You must be a member of an underrepresented population, be a resident of Michigan and be planning on pursuing a teaching career in post-secondary education in order to qualify for this award."
http://www.fastweb.com/college-scholarships/scholarships/96038-justice-sandra-day-o-connor-merit-scholarship,Justice Sandra Day O'Connor Merit Scholarship,New England School of Law,100% of tuition,Varies,The Justice Sandra Day O'Connor Merit Scholarship is available to first-year students at the New England School of Law.  You must show exceptional academic purpose to be eligible for this award.
http://www.fastweb.com/college-scholarships/scholarships/41261-graduate-and-teaching-assistantship-bloustein-school,Graduate and Teaching Assistantship - Bloustein School,"Rutgers University, Edward J. Bloustein School","$25,970",Varies,"The Graduate and Teaching Assistantship is open to graduate students at Rutgers University, Edward J. Bloustein School of Planning and Public Policy."
http://www.fastweb.com/college-scholarships/scholarships/38022-dean-s-scholarship-boston-university-school-of-management,"Dean's Scholarship - Boston University, School of Management",Boston University School of Management,"$35,000",Varies,"The Dean's Scholarship is open to MBA students at Boston University, School of Management.  Both domestic and international students will be considered for this award."
http://www.fastweb.com/college-scholarships/scholarships/139185-academic-excellence-scholarship,Academic Excellence Scholarship,Michigan State University - College of Law,"$25,000",Varies,"The Academic Excellence Scholarship is available to students entering Michigan State University, College of Law.  You must have demonstrated academic accomplishment, have a minimum GPA of 3.5 and a minimum LSAT score of 157 to qualify for this award."
http://www.fastweb.com/college-scholarships/scholarships/9960-pirg-fellowship,PIRG Fellowship,National Association of State Public Interest Research Groups,"$24,500",Varies,"The PIRG Fellowship is available to recent college graduates who are interested in the public interest movement.  As a PIRG Fellow, you will build expertise on global warming, campaign reform, or another social problem.  You will conduct research, make the case for solutions, act as a spokesperson to the media, build diverse coalitions, write grants, and develop the kind of politically powerful support you need to win."
http://www.fastweb.com/college-scholarships/scholarships/89361-charles-legeyt-fortescue-graduate-scholarship,Charles LeGeyt Fortescue Graduate Scholarship,"Institute of Electrical and Electronics Engineers, Inc.","$24,000","November 15, 2015","The Charles LeGeyt Fortescue Graduate Scholarship is available to full-time, first-year graduate students pursuing work in electrical engineering.  You must have a bachelor's degree in electrical engineering and be a U.S. resident to qualify for this award."
http://www.fastweb.com/college-scholarships/scholarships/10692-dean-s-scholarship,Dean's Scholarship,Ave Maria School of Law,"$35,000",Varies,The Dean's Scholarship is available to students entering Ave Maria School of Law.  You must have an undergraduate GPA of at least 3.3 and an LSAT score of at least 155 to be eligible for this award.
http://www.fastweb.com/college-scholarships/scholarships/164696-atlas-shrugged-essay-contest,Atlas Shrugged Essay Contest,Ayn Rand Institute,"$20,000","October 23, 2015","The Atlas Shrugged Essay Contest is open to high school seniors, college undergraduates and graduate students.  You must submit an essay of between 800 and 1600 words on a topic related to Ayn Rand's Atlas Shrugged.  The three topic choices are listed on the sponsor's website and essays will be judged on style and content."
http://www.fastweb.com/college-scholarships/scholarships/93518-presidential-diversity-scholarship,Presidential Diversity Scholarship,St. Lawrence University,"$32,000","February 01, 2016","The Presidential Diversity Scholarship is available to first - year and transfer students at Saint Lawrence University.  You must demonstrate commitment to, and appreciation for, racial and ethnic diversity to be considered for this award."
http://www.fastweb.com/college-scholarships/scholarships/49002-broadwell-chinn-award,Broadwell Chinn Award,Wittenberg University,"$16,000","December 01, 2015",The Broadwell Chinn Award is available to minority students entering Wittenberg University.  You must have a minimum 3.25 GPA to be eligible for this award.
http://www.fastweb.com/college-scholarships/scholarships/81002-f-armstrong-scholarship-cornell-college,F. Armstrong Scholarship - Cornell College,Cornell College,"$16,000",Varies,The F. Armstrong Scholarship is open to entering freshmen at Cornell College who contribute to campus diversity.
http://www.fastweb.com/college-scholarships/scholarships/41277-diversity-advancement-program-scholarship,Diversity Advancement Program Scholarship,"Rutgers University, Edward J. Bloustein School","$15,000",Varies,"The Diversity Advancement Program Scholarship is open to graduate students at Rutgers University, Edward J. Bloustein School of Planning and Public Policy who are from underrepresented populations."
http://www.fastweb.com/college-scholarships/scholarships/94890-ralph-johnson-bunche-distinguished-graduate-scholarship,Ralph Johnson Bunche Distinguished Graduate Scholarship,"Rutgers University, Newark, School of Law","$15,000",Varies,"The Ralph Johnson Bunche Distinguished Graduate Scholarship is available to full-time entering students at Rutgers University, School of Law, Newark.  You must have a substantial educational background or demonstrate a cultural disadvantage to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/49357-george-washington-carver-scholarship,George Washington Carver Scholarship,Simpson College,"$15,000",Varies,The George Washington Carver Scholarship is open to entering freshmen and transfer students at Simpson College who have distinctive and broadly diverse backgrounds.
http://www.fastweb.com/college-scholarships/scholarships/37840-multicultural-advancement-award-of-distinction-scholarship-cmu,Multicultural Advancement Award of Distinction Scholarship - CMU,Central Michigan University,"$10,500",Varies,The Multicultural Advancement Award of Distinction Scholarship is open to deserving entering freshmen at Central Michigan University.  You must be a minority student to be eligible for this renewable award.
http://www.fastweb.com/college-scholarships/scholarships/159639-alois-bulawa-scholarship,Alois Bulawa Scholarship,"University of Wisconsin, Milwaukee - Lubar School of Business","$10,500",Varies,"The Alois Bulawa Scholarship is available to Hispanic junior and senior students at the University of Wisconsin, Milwaukee.  You must be majoring in business to be eligible for this award."
