URL,Title,Phone,Street Address,Locality,Region,Country,Postal Code
http://www.apontador.com.br/local/sp/sao_paulo/igrejas/9682Y5K6/igreja_sao_jose_operario.html,Igreja Sao Jose Operario,11 2950-8842,Alameda Afonso Schmidt-76- Santana,São Paulo,SP,Brasil,CEP: 02450-000
http://www.apontador.com.br/local/sp/sao_paulo/laboratorios/75RKQUK6/cientificalab_balneario_sao_jose.html,Cientificalab Balneario Sao Jose,11 4134-7066,Rua Gaspar Leme-s/n- Balneário São Jose,São Paulo,SP,Brasil,CEP: 04864-050
http://www.apontador.com.br/local/sp/sao_paulo/medicina_e_saude_geral_/G549F282/psm_balneario_sao_jose.html,Psm Balneario Sao Jose,11 5979-7173,Rua Gaspar Leme-s/n- Balneário São Jose,São Paulo,SP,Brasil,CEP: 04864-050
http://www.apontador.com.br/local/sp/sao_paulo/enderecos_empresariais/C404096F39461O4614/crediario_sao_jose.html,Crediario Sao Jose,,Rua Das Variações Musicais-8- Vila Bom Jardim,São Paulo,SP,Brasil,CEP: 04938-010
http://www.apontador.com.br/local/sp/sao_paulo/mercearias/C401338908323D323C/emporio_sao_jose.html,Emporio Sao Jose,11 5842-3113,Rua Nélson Lomanto-46- Jardim Elizabeth,São Paulo,SP,Brasil,CEP: 05794-350
http://www.apontador.com.br/local/sp/sao_paulo/mercearias/C404158225480N4808/emporio_sao_jose.html,Empório São José,11 3284-7951,Rua Pamplona-25- A-Bela Vista,São Paulo,SP,Brasil,CEP: 01405-100
http://www.apontador.com.br/local/sp/sao_paulo/enderecos_empresariais/C4061408193D6Z3D60/balneario_sao_jose.html,Balneario Sao Jose,11 5979-2890,Rua Gaspar Leme-- Balneário São Jose,São Paulo,SP,Brasil,CEP: 04864-050
http://www.apontador.com.br/local/sp/sao_paulo/churrascarias/C404795908513O513B/sao_jose_grill.html,Sao Jose Grill,11 3567-1792,Alameda Jaú-1791- Jardim Paulista,São Paulo,SP,Brasil,CEP: 01420-007
http://www.apontador.com.br/local/sp/sao_paulo/associacoes_e_sindicatos/C40141594A443E4438/associacao_sao_jose_operario.html,Associacao Sao Jose Operario,,Rua Aderbal-20- A-Conjunto Promorar São Luis,São Paulo,SP,Brasil,CEP: 05847-450
http://www.apontador.com.br/local/sp/sao_paulo/transporte_geral_/258DJP2X/rodoviario_e_turismo_sao_jose.html,Rodoviário e Turismo São José,11 2901-2471,Avenida Joaquina Ramalho-424--Carandiru,São Paulo,SP,Brasil,CEP: 02065-000
http://www.apontador.com.br/local/sp/sao_paulo/clinicas_e_centros_de_diagnostico/C40355175A062D0624/laboratorio_clinico_sao_jose.html,Laboratorio Clinico Sao Jose,,Rua Comandante Joao Lopes - 230-- Centro,São Paulo,SP,Brasil,
http://www.apontador.com.br/local/sp/sao_paulo/bancos/WEU8HXC6/bradesco_vila_sao_jose.html,Bradesco - Vila São José,11 5928-9886,Rua José Bocchiglieri-48- Jardim Floresta,São Paulo,SP,Brasil,CEP: 04836-000
