URL,Title,Phone,Street Address,Locality,Region,Postal Code,Category,Category ID
http://www.123achei.com.br/servicos/bicicletas/bicicletas-pecas-e-acessorios/sao-jose-do-rio-preto/ponto-bike-bicicletas-nacionais-e-importadas1.html,Ponto Bike Bicicletas Nacionais e Importadas,(17) 3212-7061,"R Pedro Amaral, 1774 lj 1 - Prq Industrial",São José do Rio Preto,SP,15025-043,Bicicletas Peças e Acessórios,1101
http://www.123achei.com.br/servicos/bicicletas/bicicletas-pecas-e-acessorios/sao-jose-do-rio-preto/ponto-bike-bicicletas-nacionais-e-importadas1.html,Ponto Bike Bicicletas Nacionais e Importadas,(17) 3212-7061,"R Pedro Amaral, 1774 lj 1 - Prq Industrial",São José do Rio Preto,SP,15025-043,Bicicletas Peças e Acessórios,1101
http://www.123achei.com.br/servicos/bicicletas/bicicletas-pecas-e-acessorios/sao-jose-do-rio-preto/ponto-bike-bicicletas-nacionais-e-importadas1.html,Ponto Bike Bicicletas Nacionais e Importadas,(17) 3212-7061,"R Pedro Amaral, 1774 lj 1 - Prq Industrial",São José do Rio Preto,SP,15025-043,Bicicletas Peças e Acessórios,1101
http://www.123achei.com.br/servicos/bicicletas/bicicletas-pecas-e-acessorios/sao-jose-do-rio-preto/bicicletaria-bike-center-jardim-nunes1.html,Bicicletaria Bike Center Jardim Nunes,(17) 3014-2426,"R Júlia Rodrigues Nogueira Paz, 2226 - Jd Nunes",São José do Rio Preto,SP,15046-822,Bicicletas Peças e Acessórios,1101
http://www.123achei.com.br/servicos/bicicletas/bicicletas-pecas-e-acessorios/sao-jose-do-rio-preto/bicicletaria-bike-center-jardim-nunes1.html,Bicicletaria Bike Center Jardim Nunes,(17) 3014-2426,"R Júlia Rodrigues Nogueira Paz, 2226 - Jd Nunes",São José do Rio Preto,SP,15046-822,Bicicletas Peças e Acessórios,1101
http://www.123achei.com.br/servicos/bicicletas/bicicletas-pecas-e-acessorios/sao-jose-do-rio-preto/bike-mania-pecas-e-acessorios1.html,Bike Mania - Peças e Acessórios,(17) 3012-5723,"R Oscar da Silva Pastore, 150 - Jd Planalto",São José do Rio Preto,SP,15046-618,Bicicletas Peças e Acessórios,1101
http://www.123achei.com.br/servicos/bicicletas/bicicletas-pecas-e-acessorios/sao-jose-do-rio-preto/bike-mania-pecas-e-acessorios1.html,Bike Mania - Peças e Acessórios,(17) 3012-5723,"R Oscar da Silva Pastore, 150 - Jd Planalto",São José do Rio Preto,SP,15046-618,Bicicletas Peças e Acessórios,1101
http://www.123achei.com.br/servicos/bicicletas/bicicletas-pecas-e-acessorios/sao-jose-do-rio-preto/star-ciclo-bicicletas-e-personalizadas2.html,Star Ciclo Bicicletas e Personalizadas,(17) 3231-8600(17) 3212-9942,"R Bernardino de Campos, 2552 - Centro",São José do Rio Preto,SP,15015-300,Bicicletas Peças e Acessórios,1101
http://www.123achei.com.br/servicos/bicicletas/bicicletas-pecas-e-acessorios/sao-jose-do-rio-preto/star-ciclo-bicicletas-e-personalizadas2.html,Star Ciclo Bicicletas e Personalizadas,(17) 3231-8600(17) 3212-9942,"R Bernardino de Campos, 2552 - Centro",São José do Rio Preto,SP,15015-300,Bicicletas Peças e Acessórios,1101
http://www.123achei.com.br/servicos/bicicletas/bicicletas-pecas-e-acessorios/sao-jose-do-rio-preto/auto-moto-center-correia2.html,Auto Moto Center Correia,(17) 3021-8228,"Av Comend Arnaldo Luiz Martinelli, 521 - Neto Vetorazzo",São José do Rio Preto,SP,15042-100,Bicicletas Peças e Acessórios,1101
